id,user_id,umkm_id,role,created_at
ROLE001,USR001,UMKM001,owner,2022-07-17 19:09:51
ROLE002,USR002,UMKM002,owner,2022-04-13 14:04:54
ROLE003,USR003,UMKM003,owner,2022-12-25 09:02:40
ROLE004,USR004,UMKM004,owner,2023-11-21 02:05:29
ROLE006,USR006,UMKM006,owner,2022-03-06 08:53:03
ROLE007,USR007,UMKM007,owner,2021-04-01 22:21:04
ROLE008,USR008,UMKM008,owner,2021-05-11 19:57:24
ROLE010,USR010,UMKM010,owner,2021-09-04 23:17:20
ROLE011,USR011,UMKM011,owner,2023-07-10 03:40:43
ROLE012,USR012,UMKM012,owner,2021-08-27 21:47:52
ROLE013,USR013,UMKM013,owner,2021-09-06 11:01:14
ROLE014,USR014,UMKM014,owner,2022-09-11 17:14:54
ROLE015,USR015,UMKM015,owner,2023-05-27 10:39:22
ROLE018,USR018,UMKM018,owner,2022-02-16 04:34:19
ROLE019,USR019,UMKM019,owner,2023-09-20 09:46:51
ROLE020,USR020,UMKM020,owner,2022-08-09 21:05:07
ROLE021,USR021,UMKM021,owner,2021-01-17 21:43:18
ROLE022,USR022,UMKM022,owner,2022-05-14 17:17:27
ROLE023,USR023,UMKM023,owner,2021-05-16 02:03:31
ROLE024,USR024,UMKM024,owner,2021-07-20 09:26:30
ROLE025,USR025,UMKM025,owner,2023-04-16 18:02:16
ROLE026,USR026,UMKM026,owner,2023-12-11 16:55:46
ROLE028,USR028,UMKM028,owner,2021-04-29 11:58:30
ROLE029,USR029,UMKM029,owner,2021-05-09 07:22:50
ROLE030,USR030,UMKM030,owner,2022-06-08 07:18:01
ROLE031,USR031,UMKM031,owner,2023-04-28 16:44:53
ROLE032,USR032,UMKM032,owner,2022-01-17 11:39:37
ROLE033,USR033,UMKM033,owner,2023-10-25 16:54:27
ROLE034,USR034,UMKM034,owner,2021-04-01 04:18:53
ROLE035,USR035,UMKM035,owner,2022-07-06 02:50:04
ROLE036,USR036,UMKM036,owner,2022-12-12 22:29:31
ROLE037,USR037,UMKM037,owner,2021-05-14 02:51:08
ROLE038,USR038,UMKM038,owner,2023-10-28 01:57:25
ROLE039,USR039,UMKM039,owner,2022-01-12 05:38:58
ROLE040,USR040,UMKM040,owner,2021-04-18 02:10:10
ROLE041,USR041,UMKM041,owner,2022-12-14 20:23:29
ROLE042,USR042,UMKM042,owner,2023-06-07 08:38:41
ROLE043,USR043,UMKM043,owner,2021-04-20 21:12:54
ROLE044,USR044,UMKM044,owner,2021-04-03 22:06:30
ROLE045,USR045,UMKM045,owner,2021-04-13 09:22:27
ROLE046,USR046,UMKM046,owner,2021-04-23 14:40:52
ROLE047,USR047,UMKM047,owner,2023-06-20 23:08:19
ROLE049,USR049,UMKM049,owner,2022-05-14 01:47:24
ROLE050,USR050,UMKM050,owner,2022-12-15 07:18:03
ROLE052,USR052,UMKM052,owner,2022-07-02 04:56:32
ROLE053,USR053,UMKM053,owner,2022-12-03 16:43:17
ROLE054,USR054,UMKM054,owner,2023-10-22 22:02:15
ROLE055,USR055,UMKM055,owner,2021-06-14 22:19:04
ROLE056,USR056,UMKM056,owner,2023-06-07 10:30:20
ROLE057,USR057,UMKM057,owner,2021-11-30 06:42:28
